run,status,label,eval_label,horizon_years,feature_set,seed,grid_params,sampled_params,config_hash,n_test,effective_n,base_rate,pr_auc,roc_auc,brier,base_rate_brier,precision_at_20,conf_at_20,recall_at_20
forest_random_search_3y-2seeds__label_3y_beat_spy__r30__s23,completed,label_3y_beat_spy,,3,0,23,{},"{""criterion"": ""gini"", ""max_depth"": 3, ""max_features"": 0.914775, ""max_samples"": 0.441152, ""min_samples_leaf"": 248, ""n_estimators"": 126}",8179beb03d295321,256351,8215.438550146824,0.3535010191664152,0.4609484519650986,0.6183438732797373,0.2415443603397946,0.22853804861472096,0.6,0.6885416828037484,0.0020631850419084463
forest_random_search_3y-2seeds__label_3y_beat_spy__r48__s23,completed,label_3y_beat_spy,,3,0,23,{},"{""criterion"": ""entropy"", ""max_depth"": 4, ""max_features"": 0.205191, ""max_samples"": 0.663781, ""min_samples_leaf"": 72, ""n_estimators"": 490}",1e0965727ac2409a,256351,8215.438550146824,0.3535010191664152,0.4665685481424896,0.6247066023133556,0.23921466527042237,0.22853804861472096,0.596875,0.6833238349509853,0.0020524392864818396
forest_random_search_3y-2seeds__label_3y_beat_spy__r8__s232,completed,label_3y_beat_spy,,3,0,232,{},"{""criterion"": ""gini"", ""max_depth"": 4, ""max_features"": 0.504349, ""max_samples"": 0.313455, ""min_samples_leaf"": 173, ""n_estimators"": 477}",0f09585adcf4a610,256351,8215.438550146824,0.3535010191664152,0.46467969435806544,0.6229540771735363,0.2398156592647426,0.22853804861472096,0.5875,0.7086349953121792,0.00202020202020202
forest_random_search_3y-2seeds__label_3y_beat_spy__r44__s23,completed,label_3y_beat_spy,,3,0,23,{},"{""criterion"": ""gini"", ""max_depth"": 5, ""max_features"": 0.363775, ""max_samples"": 0.588702, ""min_samples_leaf"": 457, ""n_estimators"": 300}",7a53dee7d1abe797,256351,8215.438550146824,0.3535010191664152,0.4653101072208024,0.6234024895611474,0.23832897885933155,0.22853804861472096,0.584375,0.7222003715054596,0.0020094562647754136
forest_random_search_3y-2seeds__label_3y_beat_spy__r19__s23,completed,label_3y_beat_spy,,3,0,23,{},"{""criterion"": ""gini"", ""max_depth"": 13, ""max_features"": 0.492596, ""max_samples"": 0.280636, ""min_samples_leaf"": 100, ""n_estimators"": 389}",9a61508e1cd54a15,256351,8215.438550146824,0.3535010191664152,0.46465839977763734,0.625859219426704,0.23687798541359287,0.22853804861472096,0.584375,0.7640818372591374,0.0020094562647754136
forest_random_search_3y-2seeds__label_3y_beat_spy__r49__s23,completed,label_3y_beat_spy,,3,0,23,{},"{""criterion"": ""gini"", ""max_depth"": 4, ""max_features"": 0.663435, ""max_samples"": 0.677812, ""min_samples_leaf"": 50, ""n_estimators"": 295}",e64fd52b1be19478,256351,8215.438550146824,0.3535010191664152,0.4626227678994238,0.6224128284105676,0.23944514618830343,0.22853804861472096,0.584375,0.713017663708881,0.0020094562647754136
forest_random_search_3y-2seeds__label_3y_beat_spy__r46__s23,completed,label_3y_beat_spy,,3,0,23,{},"{""criterion"": ""gini"", ""max_depth"": 12, ""max_features"": 0.203558, ""max_samples"": 0.453165, ""min_samples_leaf"": 187, ""n_estimators"": 407}",819625fb51ca5bc2,256351,8215.438550146824,0.3535010191664152,0.46687422832981257,0.6263770305505996,0.23627321530812745,0.22853804861472096,0.58125,0.7426681228952379,0.0019987105093488074
forest_random_search_3y-2seeds__label_3y_beat_spy__r32__s23,completed,label_3y_beat_spy,,3,0,23,{},"{""criterion"": ""entropy"", ""max_depth"": 9, ""max_features"": 0.326929, ""max_samples"": 0.365784, ""min_samples_leaf"": 107, ""n_estimators"": 440}",a2bfbd64aadeb895,256351,8215.438550146824,0.3535010191664152,0.46596309790102375,0.6267913073647868,0.23658526096417345,0.22853804861472096,0.58125,0.7591394907926124,0.0019987105093488074
forest_random_search_3y-2seeds__label_3y_beat_spy__r21__s232,completed,label_3y_beat_spy,,3,0,232,{},"{""criterion"": ""gini"", ""max_depth"": 12, ""max_features"": 0.407541, ""max_samples"": 0.243825, ""min_samples_leaf"": 29, ""n_estimators"": 352}",da6c3ffb19e61a63,256351,8215.438550146824,0.3535010191664152,0.46513841510222764,0.6280192782303411,0.2356602974559241,0.22853804861472096,0.58125,0.7796985435406951,0.0019987105093488074
forest_random_search_3y-2seeds__label_3y_beat_spy__r30__s232,completed,label_3y_beat_spy,,3,0,232,{},"{""criterion"": ""gini"", ""max_depth"": 3, ""max_features"": 0.914775, ""max_samples"": 0.441152, ""min_samples_leaf"": 248, ""n_estimators"": 126}",f8cf002ce65f3584,256351,8215.438550146824,0.3535010191664152,0.46174197610062523,0.6190497404919837,0.2414382776192403,0.22853804861472096,0.578125,0.6884645277063786,0.0019879647539222008
