run,candidate,status,label,eval_label,horizon_years,feature_set,param_set,set_params,seed,grid_params,sampled_params,config_hash,n_test,effective_n,base_rate,pr_auc,roc_auc,brier,base_rate_brier,precision_at_20,conf_at_20,recall_at_20
xgb_search_cells_features_params__label_3y_beat_spy__fs0__set2__s23,xgb_search_cells_features_params__label_3y_beat_spy__fs0__set2,completed,label_3y_beat_spy,,3,0,2,"{""class_weight"": 0.1, ""colsample_bytree"": 0.638389, ""gamma"": 0.00994761, ""learning_rate"": 0.0113265, ""max_depth"": 6, ""min_child_weight"": 59.9175, ""n_estimators"": 195, ""reg_alpha"": 0.000140183, ""reg_lambda"": 0.418799, ""subsample"": 0.887142}",23,{},{},0bbcc93f54c5941e,256351,8215.438550146824,0.3535010191664152,0.45937916981705984,0.6211683859591866,0.2822706515853378,0.22853804861472096,0.58125,0.24373168931342662,0.0019987105093488074
xgb_search_cells_features_params__label_2y_beat_spy__fs0__set2__s1776,xgb_search_cells_features_params__label_2y_beat_spy__fs0__set2,completed,label_2y_beat_spy,,2,0,2,"{""class_weight"": 0.1, ""colsample_bytree"": 0.638389, ""gamma"": 0.00994761, ""learning_rate"": 0.0113265, ""max_depth"": 6, ""min_child_weight"": 59.9175, ""n_estimators"": 195, ""reg_alpha"": 0.000140183, ""reg_lambda"": 0.418799, ""subsample"": 0.887142}",1776,{},{},122d75d6c7a60684,292576,13435.081087150693,0.38335620724370656,0.46248970036139414,0.5919319158143279,0.31319960437661454,0.23639422561142684,0.5638888888888889,0.2217269935955604,0.0017743979721166034
xgb_search_cells_features_params__label_2y_beat_spy__fs0__set2__s23,xgb_search_cells_features_params__label_2y_beat_spy__fs0__set2,completed,label_2y_beat_spy,,2,0,2,"{""class_weight"": 0.1, ""colsample_bytree"": 0.638389, ""gamma"": 0.00994761, ""learning_rate"": 0.0113265, ""max_depth"": 6, ""min_child_weight"": 59.9175, ""n_estimators"": 195, ""reg_alpha"": 0.000140183, ""reg_lambda"": 0.418799, ""subsample"": 0.887142}",23,{},{},b488a71124e2cd97,292576,13435.081087150693,0.38335620724370656,0.46292416361589483,0.592294620070894,0.31304025458474494,0.23639422561142684,0.5611111111111111,0.22179843853745196,0.0017656570954066692
xgb_search_cells_features_params__label_3y_beat_spy__fs0__set0__s32,xgb_search_cells_features_params__label_3y_beat_spy__fs0__set0,completed,label_3y_beat_spy,,3,0,0,"{""class_weight"": 0.5, ""colsample_bytree"": 0.407286, ""gamma"": 0.000106243, ""learning_rate"": 0.0118662, ""max_depth"": 8, ""min_child_weight"": 89.3656, ""n_estimators"": 556, ""reg_alpha"": 0.436331, ""reg_lambda"": 21.3796, ""subsample"": 0.6872}",32,{},{},7eb8a7b537909aa2,256351,8215.438550146824,0.3535010191664152,0.46029238172998027,0.6252596895457024,0.22167522977191834,0.22853804861472096,0.55625,0.6516158102080226,0.0019127444659359553
xgb_search_cells_features_params__label_3y_beat_spy__fs0__set1__s1776,xgb_search_cells_features_params__label_3y_beat_spy__fs0__set1,completed,label_3y_beat_spy,,3,0,1,"{""class_weight"": 0.5, ""colsample_bytree"": 0.825382, ""gamma"": 4.79144, ""learning_rate"": 0.126577, ""max_depth"": 6, ""min_child_weight"": 5.09555, ""n_estimators"": 274, ""reg_alpha"": 4.30687, ""reg_lambda"": 0.235585, ""subsample"": 0.920096}",1776,{},{},d5d948ab505ab30d,256351,8215.438550146824,0.3535010191664152,0.4575562386939614,0.6219765994413327,0.22176302529158234,0.22853804861472096,0.55625,0.6536314580589533,0.0019127444659359553
xgb_search_cells_features_params__label_3y_beat_spy__fs0__set0__s23,xgb_search_cells_features_params__label_3y_beat_spy__fs0__set0,completed,label_3y_beat_spy,,3,0,0,"{""class_weight"": 0.5, ""colsample_bytree"": 0.407286, ""gamma"": 0.000106243, ""learning_rate"": 0.0118662, ""max_depth"": 8, ""min_child_weight"": 89.3656, ""n_estimators"": 556, ""reg_alpha"": 0.436331, ""reg_lambda"": 21.3796, ""subsample"": 0.6872}",23,{},{},bfd7d25f75e36f4f,256351,8215.438550146824,0.3535010191664152,0.46034396559161184,0.6250143020179897,0.22163166636447573,0.22853804861472096,0.553125,0.6529026620090008,0.0019019987105093489
xgb_search_cells_features_params__label_3y_beat_spy__fs0__set2__s1776,xgb_search_cells_features_params__label_3y_beat_spy__fs0__set2,completed,label_3y_beat_spy,,3,0,2,"{""class_weight"": 0.1, ""colsample_bytree"": 0.638389, ""gamma"": 0.00994761, ""learning_rate"": 0.0113265, ""max_depth"": 6, ""min_child_weight"": 59.9175, ""n_estimators"": 195, ""reg_alpha"": 0.000140183, ""reg_lambda"": 0.418799, ""subsample"": 0.887142}",1776,{},{},0c02c31e76685e00,256351,8215.438550146824,0.3535010191664152,0.4593679343878388,0.6208891358919982,0.28228007175746095,0.22853804861472096,0.553125,0.24522012886591255,0.0019019987105093489
xgb_search_cells_features_params__label_3y_beat_spy__fs0__set3__s1776,xgb_search_cells_features_params__label_3y_beat_spy__fs0__set3,completed,label_3y_beat_spy,,3,0,3,"{""class_weight"": 0.1, ""colsample_bytree"": 0.765949, ""gamma"": 0.000139965, ""learning_rate"": 0.0114436, ""max_depth"": 8, ""min_child_weight"": 7.50202, ""n_estimators"": 1069, ""reg_alpha"": 3.75825, ""reg_lambda"": 0.186001, ""subsample"": 0.954949}",1776,{},{},7f4b52d1c53881d6,256351,8215.438550146824,0.3535010191664152,0.4610044662590874,0.6259210224216281,0.2857129553865342,0.22853804861472096,0.553125,0.36962197460234164,0.0019019987105093489
xgb_search_cells_features_params__label_3y_beat_spy__fs0__set1__s32,xgb_search_cells_features_params__label_3y_beat_spy__fs0__set1,completed,label_3y_beat_spy,,3,0,1,"{""class_weight"": 0.5, ""colsample_bytree"": 0.825382, ""gamma"": 4.79144, ""learning_rate"": 0.126577, ""max_depth"": 6, ""min_child_weight"": 5.09555, ""n_estimators"": 274, ""reg_alpha"": 4.30687, ""reg_lambda"": 0.235585, ""subsample"": 0.920096}",32,{},{},99cfdc5b61abf993,256351,8215.438550146824,0.3535010191664152,0.4571841666919561,0.6218312917034524,0.22189074124965089,0.22853804861472096,0.55,0.6531366672366857,0.0018912529550827422
xgb_search_cells_features_params__label_3y_beat_spy__fs0__set2__s32,xgb_search_cells_features_params__label_3y_beat_spy__fs0__set2,completed,label_3y_beat_spy,,3,0,2,"{""class_weight"": 0.1, ""colsample_bytree"": 0.638389, ""gamma"": 0.00994761, ""learning_rate"": 0.0113265, ""max_depth"": 6, ""min_child_weight"": 59.9175, ""n_estimators"": 195, ""reg_alpha"": 0.000140183, ""reg_lambda"": 0.418799, ""subsample"": 0.887142}",32,{},{},d78586b67c4f58e6,256351,8215.438550146824,0.3535010191664152,0.45913574513968547,0.6210013356319957,0.2823252318075354,0.22853804861472096,0.546875,0.24429690497927367,0.0018805071996561358
