run,candidate,status,label,eval_label,horizon_years,feature_set,param_set,set_params,seed,grid_params,sampled_params,config_hash,n_test,effective_n,base_rate,pr_auc,roc_auc,brier,base_rate_brier,precision_at_20,conf_at_20,recall_at_20,precision_at_50,conf_at_50,recall_at_50,recall_at_prec_0.75,n_at_prec_0.75,recall_at_prec_0.9,n_at_prec_0.9
lgbm_drawdown_rungs_3y__label_3y_cagr_ge_0p1_and_3y_max_drawdown_from_entry_lt_0p2__fs0__class_weight-1.0,lgbm_drawdown_rungs_3y__label_3y_cagr_ge_0p1_and_3y_max_drawdown_from_entry_lt_0p2__fs0__class_weight-1.0,completed,fwd_3y_cagr >= 0.1 & fwd_3y_max_drawdown_from_entry < 0.2,,3,0,0,{},7,"{""class_weight"": 1.0}",{},25878efc034082ff,256351,8215.438550146824,0.20336673434523447,0.26720483906720316,0.6315144172740397,0.16540193179419838,0.1620087057069893,0.384375,0.7127886758503975,0.002259534131824528,0.37375,0.6835749615821947,0.005492688661914909,0.001690058049819972,118,0.0005694760820045558,33
lgbm_drawdown_rungs_3y__label_3y_cagr_ge_0p1_and_3y_max_drawdown_from_entry_lt_0p2__fs1__class_weight-1.0,lgbm_drawdown_rungs_3y__label_3y_cagr_ge_0p1_and_3y_max_drawdown_from_entry_lt_0p2__fs1__class_weight-1.0,completed,fwd_3y_cagr >= 0.1 & fwd_3y_max_drawdown_from_entry < 0.2,,3,1,0,{},7,"{""class_weight"": 1.0}",{},3509012b9508e7d1,256351,8215.438550146824,0.20336673434523447,0.26720483906720316,0.6315144172740397,0.16540193179419838,0.1620087057069893,0.384375,0.7127886758503975,0.002259534131824528,0.37375,0.6835749615821947,0.005492688661914909,0.001690058049819972,118,0.0005694760820045558,33
lgbm_drawdown_rungs_3y__label_3y_cagr_ge_0p1_and_3y_max_drawdown_from_entry_lt_0p4__fs0__class_weight-1.0,lgbm_drawdown_rungs_3y__label_3y_cagr_ge_0p1_and_3y_max_drawdown_from_entry_lt_0p4__fs0__class_weight-1.0,completed,fwd_3y_cagr >= 0.1 & fwd_3y_max_drawdown_from_entry < 0.4,,3,0,0,{},7,"{""class_weight"": 1.0}",{},7d3168f9c0be3b44,256351,8215.438550146824,0.27599848518033177,0.33159004517345486,0.6164289987574918,0.20497754691422873,0.19982332135849395,0.34375,0.7450543095781574,0.0014837395632410267,0.39125,0.7218289071881907,0.0042219134844949215,0.0024684030915737083,238,0.0004720989519403267,36
lgbm_drawdown_rungs_3y__label_3y_cagr_ge_0p1_and_3y_max_drawdown_from_entry_lt_0p4__fs1__class_weight-1.0,lgbm_drawdown_rungs_3y__label_3y_cagr_ge_0p1_and_3y_max_drawdown_from_entry_lt_0p4__fs1__class_weight-1.0,completed,fwd_3y_cagr >= 0.1 & fwd_3y_max_drawdown_from_entry < 0.4,,3,1,0,{},7,"{""class_weight"": 1.0}",{},285bde08241fb884,256351,8215.438550146824,0.27599848518033177,0.33159004517345486,0.6164289987574918,0.20497754691422873,0.19982332135849395,0.34375,0.7450543095781574,0.0014837395632410267,0.39125,0.7218289071881907,0.0042219134844949215,0.0024684030915737083,238,0.0004720989519403267,36
lgbm_drawdown_rungs_3y__label_3y_cagr_ge_0p1_and_3y_max_drawdown_from_entry_lt_0p4__fs1__class_weight-0.5,lgbm_drawdown_rungs_3y__label_3y_cagr_ge_0p1_and_3y_max_drawdown_from_entry_lt_0p4__fs1__class_weight-0.5,completed,fwd_3y_cagr >= 0.1 & fwd_3y_max_drawdown_from_entry < 0.4,,3,1,0,{},7,"{""class_weight"": 0.5}",{},80c92e8d9e1d95bd,256351,8215.438550146824,0.27599848518033177,0.3326876763198341,0.6174504346070987,0.20336747898751142,0.19982332135849395,0.4,0.6282049464849745,0.0017265333099531948,0.395,0.5961286399726792,0.00426237910894695,0.0028865478775779974,283,0.00044512186897230805,34
lgbm_drawdown_rungs_3y__label_3y_cagr_ge_0p1_and_3y_max_drawdown_from_entry_lt_0p4__fs0__class_weight-0.5,lgbm_drawdown_rungs_3y__label_3y_cagr_ge_0p1_and_3y_max_drawdown_from_entry_lt_0p4__fs0__class_weight-0.5,completed,fwd_3y_cagr >= 0.1 & fwd_3y_max_drawdown_from_entry < 0.4,,3,0,0,{},7,"{""class_weight"": 0.5}",{},a66edb07f769b89b,256351,8215.438550146824,0.27599848518033177,0.3326876763198341,0.6174504346070987,0.20336747898751142,0.19982332135849395,0.4,0.6282049464849745,0.0017265333099531948,0.395,0.5961286399726792,0.00426237910894695,0.0028865478775779974,283,0.00044512186897230805,34
lgbm_drawdown_rungs_3y__label_3y_cagr_ge_0p1_and_3y_max_drawdown_from_entry_lt_0p2__fs0__class_weight-0.25,lgbm_drawdown_rungs_3y__label_3y_cagr_ge_0p1_and_3y_max_drawdown_from_entry_lt_0p2__fs0__class_weight-0.25,completed,fwd_3y_cagr >= 0.1 & fwd_3y_max_drawdown_from_entry < 0.2,,3,0,0,{},7,"{""class_weight"": 0.25}",{},427f9fdce4ac971c,256351,8215.438550146824,0.20336673434523447,0.26989099836864633,0.6322120220577853,0.17258961152829919,0.1620087057069893,0.41875,0.45091567010743316,0.002461606289955177,0.4,0.40976925476905307,0.005878462781982512,0.002222793739437137,159,0.0004041443162612977,23
lgbm_drawdown_rungs_3y__label_3y_cagr_ge_0p1_and_3y_max_drawdown_from_entry_lt_0p2__fs1__class_weight-0.25,lgbm_drawdown_rungs_3y__label_3y_cagr_ge_0p1_and_3y_max_drawdown_from_entry_lt_0p2__fs1__class_weight-0.25,completed,fwd_3y_cagr >= 0.1 & fwd_3y_max_drawdown_from_entry < 0.2,,3,1,0,{},7,"{""class_weight"": 0.25}",{},356092066c8691a3,256351,8215.438550146824,0.20336673434523447,0.26989099836864633,0.6322120220577853,0.17258961152829919,0.1620087057069893,0.41875,0.45091567010743316,0.002461606289955177,0.4,0.40976925476905307,0.005878462781982512,0.002222793739437137,159,0.0004041443162612977,23
lgbm_drawdown_rungs_3y__label_3y_cagr_ge_0p1__fs1__class_weight-1.0,lgbm_drawdown_rungs_3y__label_3y_cagr_ge_0p1__fs1__class_weight-1.0,completed,fwd_3y_cagr >= 0.1,,3,1,0,{},7,"{""class_weight"": 1.0}",{},f312c674d40bf017,256351,8215.438550146824,0.3356249445176282,0.3667296757478432,0.5803672274259544,0.23213952486922937,0.2229808411351672,0.39375,0.752926740414114,0.0013954261033279805,0.40125,0.7311525802730156,0.0035550141203831882,0.0010964062240434132,127,0.0003654687413478044,35
lgbm_drawdown_rungs_3y__label_3y_cagr_ge_0p1__fs0__class_weight-1.0,lgbm_drawdown_rungs_3y__label_3y_cagr_ge_0p1__fs0__class_weight-1.0,completed,fwd_3y_cagr >= 0.1,,3,0,0,{},7,"{""class_weight"": 1.0}",{},d04f694e64f80edb,256351,8215.438550146824,0.3356249445176282,0.3667296757478432,0.5803672274259544,0.23213952486922937,0.2229808411351672,0.39375,0.752926740414114,0.0013954261033279805,0.40125,0.7311525802730156,0.0035550141203831882,0.0010964062240434132,127,0.0003654687413478044,35
lgbm_drawdown_rungs_3y__label_3y_cagr_ge_0p1__fs0__class_weight-0.25,lgbm_drawdown_rungs_3y__label_3y_cagr_ge_0p1__fs0__class_weight-0.25,completed,fwd_3y_cagr >= 0.1,,3,0,0,{},7,"{""class_weight"": 0.25}",{},7bcfbcffe049656c,256351,8215.438550146824,0.3356249445176282,0.3687802021196025,0.5811775212985344,0.25488274828342056,0.2229808411351672,0.41875,0.5047663028390537,0.0014840245860789634,0.41625,0.4672294688860638,0.0036879118445096626,0.0017387452239880391,205,0.00034331912066005874,33
lgbm_drawdown_rungs_3y__label_3y_cagr_ge_0p1__fs1__class_weight-0.25,lgbm_drawdown_rungs_3y__label_3y_cagr_ge_0p1__fs1__class_weight-0.25,completed,fwd_3y_cagr >= 0.1,,3,1,0,{},7,"{""class_weight"": 0.25}",{},a0e101e89489bb2e,256351,8215.438550146824,0.3356249445176282,0.3687802021196025,0.5811775212985344,0.25488274828342056,0.2229808411351672,0.41875,0.5047663028390537,0.0014840245860789634,0.41625,0.4672294688860638,0.0036879118445096626,0.0017387452239880391,205,0.00034331912066005874,33
lgbm_drawdown_rungs_3y__label_3y_cagr_ge_0p1_and_3y_max_drawdown_from_entry_lt_0p4__fs0__class_weight-0.25,lgbm_drawdown_rungs_3y__label_3y_cagr_ge_0p1_and_3y_max_drawdown_from_entry_lt_0p4__fs0__class_weight-0.25,completed,fwd_3y_cagr >= 0.1 & fwd_3y_max_drawdown_from_entry < 0.4,,3,0,0,{},7,"{""class_weight"": 0.25}",{},6e1106c58a87d110,256351,8215.438550146824,0.27599848518033177,0.3342681891750455,0.61781001697277,0.21953987686483095,0.19982332135849395,0.4,0.5046757814221813,0.0017265333099531948,0.4075,0.46508725539434387,0.004397264523787043,0.0023065405937655963,226,0.0003372135371002334,27
lgbm_drawdown_rungs_3y__label_3y_cagr_ge_0p1_and_3y_max_drawdown_from_entry_lt_0p4__fs1__class_weight-0.25,lgbm_drawdown_rungs_3y__label_3y_cagr_ge_0p1_and_3y_max_drawdown_from_entry_lt_0p4__fs1__class_weight-0.25,completed,fwd_3y_cagr >= 0.1 & fwd_3y_max_drawdown_from_entry < 0.4,,3,1,0,{},7,"{""class_weight"": 0.25}",{},253db927b1e0c20f,256351,8215.438550146824,0.27599848518033177,0.3342681891750455,0.61781001697277,0.21953987686483095,0.19982332135849395,0.4,0.5046757814221813,0.0017265333099531948,0.4075,0.46508725539434387,0.004397264523787043,0.0023065405937655963,226,0.0003372135371002334,27
lgbm_drawdown_rungs_3y__label_3y_cagr_ge_0p1_and_3y_max_drawdown_from_entry_lt_0p2__fs0__class_weight-0.5,lgbm_drawdown_rungs_3y__label_3y_cagr_ge_0p1_and_3y_max_drawdown_from_entry_lt_0p2__fs0__class_weight-0.5,completed,fwd_3y_cagr >= 0.1 & fwd_3y_max_drawdown_from_entry < 0.2,,3,0,0,{},7,"{""class_weight"": 0.5}",{},ce41f021f0cf688f,256351,8215.438550146824,0.20336673434523447,0.26918861062977845,0.6322265453744204,0.16282873879591114,0.1620087057069893,0.4,0.5900676614022704,0.0023513851127930046,0.38875,0.5540188361096546,0.005713131016239254,0.0016165772650451908,114,0.0003306635314865163,19
lgbm_drawdown_rungs_3y__label_3y_cagr_ge_0p1_and_3y_max_drawdown_from_entry_lt_0p2__fs1__class_weight-0.5,lgbm_drawdown_rungs_3y__label_3y_cagr_ge_0p1_and_3y_max_drawdown_from_entry_lt_0p2__fs1__class_weight-0.5,completed,fwd_3y_cagr >= 0.1 & fwd_3y_max_drawdown_from_entry < 0.2,,3,1,0,{},7,"{""class_weight"": 0.5}",{},c103258577a2fbd3,256351,8215.438550146824,0.20336673434523447,0.26918861062977845,0.6322265453744204,0.16282873879591114,0.1620087057069893,0.4,0.5900676614022704,0.0023513851127930046,0.38875,0.5540188361096546,0.005713131016239254,0.0016165772650451908,114,0.0003306635314865163,19
